epoch,train_loss,val_loss,recon_loss,kl_loss,beta,lr,time_s
77,0.03810,0.02970,0.03051,7.58684,0.001000,0.000250,2.2
78,0.03339,0.02795,0.02653,6.86509,0.001000,0.000250,2.3
79,0.03711,0.02899,0.03093,6.18137,0.001000,0.000250,2.2
80,0.03166,0.02899,0.02674,4.92603,0.001000,0.000250,2.1
81,0.03408,0.02834,0.02851,5.57436,0.001000,0.000250,2.2
82,0.03365,0.03120,0.02796,5.69497,0.001000,0.000250,2.2
83,0.03187,0.02589,0.02679,5.07739,0.001000,0.000250,2.1
84,0.03208,0.02757,0.02661,5.47209,0.001000,0.000250,2.3
85,0.02919,0.02607,0.02456,4.62431,0.001000,0.000250,2.2
86,0.03293,0.02538,0.02774,5.19422,0.001000,0.000250,2.2
87,0.03053,0.02629,0.02586,4.66294,0.001000,0.000250,2.2
88,0.03434,0.02721,0.02909,5.24680,0.001000,0.000250,2.3
89,0.03478,0.02688,0.02901,5.76575,0.001000,0.000250,2.3
90,0.03251,0.02695,0.02647,6.04455,0.001000,0.000250,2.2
91,0.02988,0.02406,0.02497,4.91057,0.001000,0.000250,2.1
92,0.03120,0.02390,0.02552,5.67919,0.001000,0.000250,2.3
93,0.03152,0.02624,0.02678,4.74418,0.001000,0.000250,2.3
94,0.03475,0.02319,0.02949,5.25705,0.001000,0.000250,2.2
95,0.02954,0.02271,0.02458,4.96200,0.001000,0.000250,2.2
96,0.03044,0.02259,0.02471,5.72583,0.001000,0.000250,2.2
97,0.02879,0.02172,0.02390,4.88613,0.001000,0.000250,2.2
98,0.02898,0.02173,0.02388,5.09980,0.001000,0.000250,2.2
99,0.02813,0.02083,0.02359,4.53680,0.001000,0.000250,2.2
100,0.03097,0.02292,0.02510,5.86824,0.001000,0.000250,2.3
