epoch,g_loss,d_loss,time_s
188,169.6558,-70.4965,4.9
189,159.7474,-97.2114,4.9
190,144.7742,-68.5483,4.9
191,139.8479,-91.6580,4.9
192,157.5448,-61.6340,4.9
193,106.0548,-69.3050,4.9
194,72.2975,-76.4822,4.9
195,59.5199,-73.8758,4.9
196,142.2076,-70.8965,4.9
197,183.3540,-75.1607,5.0
198,110.6594,-79.8474,5.0
199,54.5524,-67.8215,5.0
200,102.6445,-58.2512,5.0
201,98.4689,-65.7551,5.0
202,177.1106,-64.0696,4.9
203,119.1742,-61.7701,5.0
204,159.1372,-82.2945,5.0
205,78.4373,-85.6572,4.9
206,102.2829,-74.6892,4.9
207,149.6984,-82.3825,4.9
208,102.0823,-70.1456,5.0
209,71.5768,-72.3065,5.0
210,86.9693,-68.8829,5.0
211,73.6526,-67.9831,4.9
212,133.8420,-86.6301,4.9
213,108.1514,-80.7726,4.9
214,162.6139,-79.6400,4.9
215,136.6842,-71.4406,4.9
216,87.7377,-93.5380,4.9
217,68.1781,-71.3225,5.0
218,82.7353,-59.0031,4.9
219,19.1314,-55.5541,4.9
220,100.4349,-64.9492,5.0
221,117.9015,-67.1313,5.0
222,34.1789,-73.4122,4.9
223,98.1542,-55.1640,4.9
224,151.2394,-61.5473,5.0
225,44.6610,-57.7640,4.9
226,63.0379,-89.2942,5.0
227,3.5844,-64.1795,4.9
228,-34.7463,-72.3031,5.0
229,95.8422,-61.8171,4.9
230,68.5468,-82.3109,4.9
231,103.3313,-82.4677,4.9
232,120.9511,-50.9502,5.0
233,94.8039,-67.7452,4.9
234,174.1708,-91.2962,4.9
235,102.9344,-85.8659,5.0
236,60.7751,-64.3558,4.9
237,33.6934,-69.5478,4.9
238,91.0535,-80.4210,4.9
239,93.6883,-85.9904,4.9
240,179.3226,-74.7719,5.0
241,17.8330,-72.2172,4.9
242,51.8577,-56.1992,4.9
243,54.7031,-73.9972,5.0
244,-43.1206,-65.7723,4.9
245,-21.4700,-68.4737,4.9
246,-14.2704,-69.9394,4.9
247,59.0936,-58.6233,4.9
248,37.2473,-64.7101,4.9
249,135.9404,-82.3784,5.0
250,201.0011,-71.0861,4.9
251,94.8128,-72.5071,5.0
252,147.6896,-80.1191,5.0
253,170.1875,-70.8352,5.0
254,10.1136,-100.9785,5.0
255,68.4286,-64.5699,4.9
256,-4.8635,-48.4089,5.0
257,96.2808,-80.7527,4.9
258,170.5904,-58.7623,5.0
259,109.4020,-77.1558,4.9
